date;unit;consumption;time
27.3.2019;fridge;35,1W;04:55
27.3.2019;fridge;34,7W;05:00
27.3.2019;fridge;34,6W;05:05
27.3.2019;fridge;34,6W;05:10
27.3.2019;fridge;33,7W;05:15
27.3.2019;fridge;33,7W;05:20
27.3.2019;fridge;2,5W;05:25
27.3.2019;fridge;2,5W;05:30
27.3.2019;fridge;2,5W;05:35
27.3.2019;fridge;2,5W;05:40
27.3.2019;fridge;34,6W;05:45
27.3.2019;fridge;36,1W;05:50
27.3.2019;fridge;35,7W;05:55
27.3.2019;fridge;36,9W;06:00
27.3.2019;fridge;35,4W;06:05
27.3.2019;fridge;35,1W;06:10
27.3.2019;fridge;34,8W;06:15
27.3.2019;fridge;34,0W;06:20
27.3.2019;fridge;33,4W;06:25
27.3.2019;fridge;33,3W;06:30
27.3.2019;fridge;33,0W;06:35
27.3.2019;fridge;2,5W;06:40
27.3.2019;fridge;2,5W;06:45
27.3.2019;fridge;1,6W;06:50
27.3.2019;fridge;29,1W;06:55
27.3.2019;fridge;35,4W;07:00
27.3.2019;fridge;35,4W;07:05
27.3.2019;fridge;35,4W;07:10
27.3.2019;fridge;36,4W;07:15
27.3.2019;fridge;34,9W;07:20
27.3.2019;fridge;34,8W;07:25
27.3.2019;fridge;34,5W;07:30
27.3.2019;fridge;34,3W;07:35
27.3.2019;fridge;33,7W;07:40
27.3.2019;fridge;33,7W;07:45
27.3.2019;fridge;1,5W;07:50
27.3.2019;fridge;1,5W;07:55
27.3.2019;fridge;1,5W;08:00
27.3.2019;fridge;1,5W;08:05
27.3.2019;fridge;30,6W;08:10
27.3.2019;fridge;35,2W;08:15
27.3.2019;fridge;37,7W;08:20
27.3.2019;fridge;37,7W;08:25
27.3.2019;fridge;37,7W;08:30
27.3.2019;fridge;34,8W;08:35
27.3.2019;fridge;34,7W;08:40
27.3.2019;fridge;34,4W;08:45
27.3.2019;fridge;33,8W;08:50
27.3.2019;fridge;33,4W;08:55
27.3.2019;fridge;32,6W;09:00
27.3.2019;fridge;2,7W;09:05
27.3.2019;fridge;2,7W;09:10
27.3.2019;fridge;2,7W;09:15
27.3.2019;fridge;2,7W;09:20
27.3.2019;fridge;34,1W;09:25
27.3.2019;fridge;36,5W;09:30
27.3.2019;fridge;36,5W;09:35
27.3.2019;fridge;36,4W;09:40
27.3.2019;fridge;35,1W;09:45
27.3.2019;fridge;34,9W;09:50
27.3.2019;fridge;34,7W;09:55
27.3.2019;fridge;34,7W;10:00
27.3.2019;fridge;34,1W;10:05
27.3.2019;fridge;34,1W;10:10
27.3.2019;fridge;2,7W;10:15
27.3.2019;fridge;1,4W;10:20
27.3.2019;fridge;1,4W;10:25
27.3.2019;fridge;1,4W;10:30
27.3.2019;fridge;36,7W;10:35
27.3.2019;fridge;36,8W;10:40
27.3.2019;fridge;75,6W;10:45
27.3.2019;fridge;75,6W;10:50
27.3.2019;fridge;157,1W;10:55
27.3.2019;fridge;152,9W;11:00
27.3.2019;fridge;152,9W;11:05
27.3.2019;fridge;152,9W;11:10
27.3.2019;fridge;152,9W;11:15
27.3.2019;fridge;38,8W;11:20
27.3.2019;fridge;46,9W;11:25
27.3.2019;fridge;46,9W;11:30
27.3.2019;fridge;46,9W;11:35
27.3.2019;fridge;46,9W;11:40
27.3.2019;fridge;46,9W;11:45
